paper_id,title,pdf_file,pages,text_chars,title_match_score,datasets_mentioned,result_pages,comparison_pages,currently_on_leaderboard,prior_review,prior_reviewed_at,current_pdf_postdates_review,read_status,result_status,notes
7bcacdaff17e,A Cross-View Geo-Localization Algorithm Using UAV Image and Satellite Image,7bcacdaff17e_sensors-24-03719-v2.pdf,21,98314,1.000,University-1652; SUES-200; DenseUAV; VIGOR; CVUSA; CVACT,1; 12; 13; 14; 16,,false,none,,false,full_text_extracted_pending_visual_table_review,result_pages_found,
18a3adb9c3c3,A Deep Learning Framework with Geographic Information Adaptive Loss for Remote Sensing Images based UAV Self-Positioning,18a3adb9c3c3_A_Deep_Learning_Framework_with_Geographic_Informat_arxiv-direct.pdf,12,65611,1.000,University-1652; DenseUAV,9; 10,9,true,partial,2026-06-20T00:26:30,true,full_text_extracted_pending_visual_table_review,comparison_pages_found,
0dffafd487e0,A Hierarchical Absolute Visual Localization System for Low-Altitude Drones in GNSS-Denied Environments,0dffafd487e0_remotesensing-17-03470.pdf,42,183076,1.000,University-1652; SUES-200; DenseUAV; UAV-VisLoc; AerialVL; VIGOR; CVUSA,5; 22; 24; 25; 26; 27; 28; 34,,false,none,,false,full_text_extracted_pending_visual_table_review,result_pages_found,
631f58d43805,A Highly Robust Image Matching and Localization Method Based on Heatmap Guidance and Graph Structure Optimization,631f58d43805_ieee_alt.pdf,5,44618,1.000,University-1652; World-UAV,1; 3; 4,3,true,partial,2026-06-20T00:25:24,true,full_text_extracted_pending_visual_table_review,comparison_pages_found,
7ac44ed43a07,A Novel EAGLe Framework for Robust UAV-View Geo-Localization,7ac44ed43a07.pdf,17,127130,1.000,University-1652; SUES-200; World-UAV,9; 11; 13; 14; 15,11; 15,false,exclude,2026-06-20T00:24:39,true,full_text_extracted_pending_visual_table_review,comparison_pages_found,
54e4a5a123a2,A Review on Deep Learning for UAV Absolute Visual Localization,54e4a5a123a2_drones-08-00622.pdf,46,264463,1.000,University-1652; SUES-200; DenseUAV; UAV-VisLoc; UAV-GeoLoc,17; 19; 20; 25; 26; 27; 28; 29,,false,none,,false,full_text_extracted_pending_visual_table_review,result_pages_found,
de5c1acf58ab,A Transformer-Based Feature Segmentation and Region Alignment Method for UAV-View Geo-Localization,de5c1acf58ab_ieee_alt.pdf,14,96213,1.000,University-1652; VIGOR; CVUSA; CVACT,8; 9; 10; 11; 14,8; 9; 11,false,none,,false,full_text_extracted_pending_visual_table_review,comparison_pages_found,
e55a3076ffe2,ACCL: A Plug-and-play Adaptive Confusion-aware Contrastive Loss for UAV-to-Satellite Geolocalization,e55a3076ffe2_ieee_alt.pdf,6,56685,1.000,University-1652; SUES-200; UAV-VisLoc,4; 5; 6,,true,none,,false,full_text_extracted_pending_visual_table_review,result_pages_found,
5ab5e7a879a1,AdaptGeo: Parameter-Efficient Cross-View Geo-Localization via Frozen Foundation Model and Transformer Adapter,5ab5e7a879a1.pdf,19,122309,1.000,University-1652; SUES-200; VIGOR,7; 8; 10; 11; 12; 14,7; 8,true,exclude,2026-06-20T00:22:57,true,full_text_extracted_pending_visual_table_review,comparison_pages_found,
db7a7aafdad6,Adaptive Frequency Enhancement and Multi-Scale Semantic Interaction for Robust Cross-View Geo-Localization,db7a7aafdad6_Adaptive_Frequency_Enhancement_and_Multi-Scale_Sem_unpaywall.pdf,29,84971,1.000,University-1652; SUES-200,2; 16; 17; 18; 19; 20; 21,18; 19,true,partial,2026-06-19T23:49:13,true,full_text_extracted_pending_visual_table_review,comparison_pages_found,
9880ae23b323,Adaptive Multi-Backbone Fusion for UAV-Centric Cross-View Geo-Localization with Partial Street–Satellite Matching,9880ae23b323_acm.pdf,6,48253,1.000,University-1652; GTA-UAV; World-UAV,2; 4; 5,4,false,none,,false,full_text_extracted_pending_visual_table_review,comparison_pages_found,
757be77ae202,"AerialVL: A Dataset, Baseline and Algorithm Framework for Aerial-Based Visual Localization With Reference Map",757be77ae202_ieee_alt.pdf,8,57828,1.000,University-1652; SUES-200; World-UAV; UAV-GeoLoc; AerialVL,4,4,false,none,,false,full_text_extracted_pending_visual_table_review,comparison_pages_found,
6cdb7194b925,An Efficient Pyramid Transformer Network for Cross-View Geo-Localization in Complex Terrains,6cdb7194b925_drones-09-00379-v2.pdf,24,103756,1.000,University-1652; SUES-200; DenseUAV; UAV-VisLoc; VIGOR; CVUSA; CVACT,6; 13; 18; 19,,false,none,,false,full_text_extracted_pending_visual_table_review,result_pages_found,
5f4142a58af4; 6a3fbed60c1e,APA-BI Adaptive Partition Aggregation and Bidirectional Integration for UAV-View Geo-Localization,5f4142a58af4_ieee_alt.pdf; 6a3fbed60c1e.pdf,7,71916,1.000,University-1652; SUES-200; UAV-GeoLoc,1; 4; 5; 6,4; 5; 6,false,none,,false,full_text_extracted_pending_visual_table_review,comparison_pages_found,duplicate catalog IDs collapsed
82930fdbcd52,Attention-Driven Object Encoding and Multiscale Contextual Perception for Improved Cross-View Object Geo-Localization,82930fdbcd52.pdf,5,37080,1.000,University-1652,4,,false,exclude,2026-06-20T00:22:12,true,full_text_extracted_pending_visual_table_review,result_pages_found,
9ba16a43537d,Beyond Matching to Tiles Bridging Unaligned Aerial and Satellite Views for Vision-Only UAV Navigation,9ba16a43537d_arxiv.pdf,20,121043,1.000,University-1652; SUES-200; DenseUAV; GTA-UAV; VIGOR; CVUSA; CVACT,3; 5; 6; 7; 8; 11; 12; 17,8; 17,false,none,,false,full_text_extracted_pending_visual_table_review,comparison_pages_found,
b51dab3341da,BGG: Bridging the Geometric Gap between Cross-View images by Vision Foundation Model Adaptation for Geo-Localization,b51dab3341da_BGG_Bridging_the_Geometric_Gap_between_Cross-View_arxiv.pdf,14,111832,1.000,University-1652; SUES-200; GTA-UAV; VIGOR; CVUSA; CVACT,7; 8; 9; 10; 11,7; 8; 9; 10; 11,true,partial,2026-06-19T23:46:39,true,full_text_extracted_pending_visual_table_review,comparison_pages_found,
44ce5ac96986,Bridging the appearance gap Multi-experience localization for long-term visual teach and repeat,44ce5ac96986_ieee_alt.pdf,8,68516,1.000,,7; 8,,false,none,,false,full_text_extracted_pending_visual_table_review,result_pages_found,
ca16920bb2da,CFIRE: Cross-View Feature Interaction for Fine-Grained Regression-Based UAV Localization,ca16920bb2da_ieee_alt.pdf,5,50301,1.000,AerialVL; VIGOR,1; 2; 3,,false,none,,false,full_text_extracted_pending_visual_table_review,result_pages_found,
aa95c2daa1b2,CGSI: Context-Guided and UAV’s Status Informed Multimodal Framework for Generalizable Cross-View Geo-Localization,aa95c2daa1b2.pdf,14,90309,1.000,University-1652; SUES-200; CVUSA; CVACT,8; 9; 10; 11,8; 9; 10; 11,true,exclude,2026-06-19T23:44:10,true,full_text_extracted_pending_visual_table_review,comparison_pages_found,
774e09788340,City-level aerial geo-localization based on map matching network,774e09788340.pdf,13,100012,1.000,University-1652; DenseUAV; World-UAV,2; 7; 8; 9; 10; 11; 12; 13,7; 10,false,exclude,2026-06-20T00:18:42,true,full_text_extracted_pending_visual_table_review,comparison_pages_found,
d490bde886ee,Comparative Studies of Descriptor-Based Image Matching Techniques for AAV Applications (1),d490bde886ee_ieee_access.pdf,12,83363,1.000,University-1652; SUES-200; DenseUAV; UAV-VisLoc,1; 8; 11,,false,none,,false,full_text_extracted_pending_visual_table_review,result_pages_found,
b38399c5c0d2,Comparison of Visual Place Recognition Methods for UAV Imagery,b38399c5c0d2_ieee_alt.pdf,5,45356,1.000,,3; 4,,false,none,,false,full_text_extracted_pending_visual_table_review,result_pages_found,
f21c9cfe29c0,Cross-Attention Between Satellite and Ground Views for Enhanced Fine-Grained Robot,f21c9cfe29c0_ieee_alt.pdf,8,63381,1.000,VIGOR; CVUSA; CVACT,1; 3; 5; 6; 7,6; 7,false,none,,false,full_text_extracted_pending_visual_table_review,comparison_pages_found,
8c7585ccb202,Cross-View Image Geo-Localization with Panorama-BEV Co-retrieval Network,8c7585ccb202_arxiv.pdf,17,50150,1.000,University-1652; VIGOR; CVUSA; CVACT,4; 6; 7; 11; 12; 13; 14,6; 11; 12; 13; 14,true,none,,false,full_text_extracted_pending_visual_table_review,comparison_pages_found,
468b748ff556,Cross-View Object Geo-Localization in a Local Region With Satellite Imagery,468b748ff556_ieee_alt.pdf,16,114660,1.000,University-1652; SUES-200; VIGOR; CVUSA; CVACT,12,,false,none,,false,full_text_extracted_pending_visual_table_review,result_pages_found,
bd375063449b,Cross-view UAV Geo-localization via Wavelet-based Local Feature Enhancement,bd375063449b_ieee_alt.pdf,5,43919,1.000,University-1652,1; 4; 5,4; 5,false,partial,2026-06-19T23:43:15,true,full_text_extracted_pending_visual_table_review,comparison_pages_found,
933a07cca9fd,Cross-View UAV Geo-Localization with Precision-Focused Efficient Design A Hierarchical Distillation Approach with Multi-view Refinement,933a07cca9fd_arxiv.pdf,10,106852,0.750,University-1652; SUES-200,1; 7; 8; 9,7,false,none,,false,full_text_extracted_pending_visual_table_review,comparison_pages_found,
1c2fac0f661d,CVD-SfM: A Cross-View Deep Front-end Structure-from-Motion System for Sparse Localization in Multi-Altitude Scenes,1c2fac0f661d.pdf,8,71883,1.000,University-1652; VIGOR; CVUSA; CVACT,1; 6; 7,,false,exclude,2026-06-20T00:19:05,true,full_text_extracted_pending_visual_table_review,result_pages_found,
88b1c713820a,DiffusionUavLoc: Visually Prompted Diffusion for Cross-View UAV Localization,88b1c713820a_DiffusionUavLoc_Visually_Prompted_Diffusion_for_C_arxiv.pdf,11,80919,1.000,University-1652; SUES-200; UAV-GeoLoc,6; 7,6,true,partial,2026-06-20T00:15:50,true,full_text_extracted_pending_visual_table_review,comparison_pages_found,
d04c0e428697,DINOv2-Based UAV Visual Self-Localization in Low-Altitude Urban Environments,d04c0e428697_ieee_alt.pdf,8,56755,1.000,University-1652; SUES-200; DenseUAV; AerialVL; CVUSA,1; 5; 6; 7,5; 6,true,partial,2026-06-20T00:16:46,true,full_text_extracted_pending_visual_table_review,comparison_pages_found,
a49bd8bbea92,Do Keypoints Contain Crucial Information Mining Keypoint Information to Enhance Cross-View Geo-Localization,a49bd8bbea92_ieee_alt.pdf,6,64956,1.000,University-1652; CVUSA,4; 5,4; 5,false,none,,false,full_text_extracted_pending_visual_table_review,comparison_pages_found,
41f846965028,DOA: Advancing Cross-View Geo-Localization via Domain and Objective Alignment,41f846965028.pdf,10,77008,1.000,University-1652; SUES-200; CVUSA; CVACT,1; 6; 7; 8,6; 8,false,exclude,2026-06-20T00:16:19,true,full_text_extracted_pending_visual_table_review,comparison_pages_found,
cba3f199a0d3,DOCB: A Dynamic Online Cross-Batch Hard Exemplar Recall for Cross-View Geo-Localization,cba3f199a0d3_ijgi-14-00418.pdf,19,95119,1.000,University-1652; VIGOR; CVUSA; CVACT,3; 9; 10; 11; 12; 13; 14; 15,9; 10; 11; 12; 13; 14; 15,true,none,,false,full_text_extracted_pending_visual_table_review,comparison_pages_found,
3d8550f1d24c,Enhancing cross view geo localization through global local quadrant interaction network,3d8550f1d24c_Enhancing_cross_view_geo_localization_through_glob_unpaywall.pdf,16,107974,1.000,University-1652; SUES-200; UAV-GeoLoc; VIGOR; CVACT,7; 8; 9; 10; 11; 12,8; 9; 11,true,include,2026-06-20T00:12:48,true,full_text_extracted_pending_visual_table_review,comparison_pages_found,
a04107479203,Exploring Deep Learning-Based Visual Localization Techniques for UAVs in GPS-Denied Environments,a04107479203_ieee_access.pdf,23,142836,1.000,University-1652; World-UAV; UAV-GeoLoc,6; 8; 10; 13,,false,none,,false,full_text_extracted_pending_visual_table_review,result_pages_found,
27b14397c21c,Exploring the best way for UAV visual localization under Low-altitude Multi-view Observation Condition: a Benchmark,27b14397c21c_Exploring_the_best_way_for_UAV_visual_localization_arxiv-direct.pdf,11,76078,1.000,University-1652; SUES-200; DenseUAV; GTA-UAV; UAV-VisLoc,3; 4; 5; 6; 7; 8,,false,none,,false,full_text_extracted_pending_visual_table_review,result_pages_found,
cd047607b9a7,Exploring the Image Registration Method for UAV Visual Localization,cd047607b9a7_ieee_alt.pdf,3,31932,1.000,University-1652; SUES-200; UAV-VisLoc,1; 3,,false,none,,false,full_text_extracted_pending_visual_table_review,result_pages_found,
ddca752302da,GeoFormer: Boosting Object Distinguishing and Prompt Understanding for Cross-View Object Geo-Localization,ddca752302da_ieee_alt.pdf,16,109697,1.000,University-1652,,,false,none,,false,full_text_extracted_pending_visual_table_review,no_benchmark_result_page_detected,
a5449d507d08,GNSS-denied geolocalization of UAVs by visual matching of onboard camera images with orthophotos,a5449d507d08_GNSS-denied_geolocalization_of_UAVs_by_visual_matc_arxiv.pdf,8,55630,1.000,UAV-GeoLoc,2; 5; 6; 7,,false,none,,false,full_text_extracted_pending_visual_table_review,result_pages_found,
3e61d038d390,GRiM-Net: A Two-Stage Cross-View Visual Localization Framework for UAVs,3e61d038d390_remotesensing-18-01477-v2.pdf,28,140159,1.000,World-UAV; UAV-GeoLoc,14; 18; 21; 23; 25,,true,none,,false,full_text_extracted_pending_visual_table_review,result_pages_found,
2ad1078935a8,HCCM: Hierarchical Cross-Granularity Contrastive and Matching Learning for Natural Language-Guided Drones,2ad1078935a8.pdf,10,106141,1.000,University-1652,1; 6; 7,,false,exclude,2026-06-20T00:11:30,true,full_text_extracted_pending_visual_table_review,result_pages_found,
ea96da563d00,HMCF-Net: Hierarchical Multi-scale Fusion for UAV-Satellite Cross-view Geo-localization,ea96da563d00.pdf,6,53124,1.000,University-1652; UAV-GeoLoc,1; 4; 5,5,true,exclude,2026-06-20T00:11:07,true,full_text_extracted_pending_visual_table_review,comparison_pages_found,
e30ee7b6b636,Improving the Localization Accuracy in Internet of Drones Networks,e30ee7b6b636_ieee_alt.pdf,7,66784,1.000,University-1652; DenseUAV,1; 4; 5; 6,5; 6,true,partial,2026-06-20T00:10:04,true,full_text_extracted_pending_visual_table_review,comparison_pages_found,
f4ed1572461e,Joint Representation Learning Based on Feature Center Region Diffusion and Edge Radiation for Cross-View Geo-Localization,f4ed1572461e_ieee_alt.pdf,13,95096,1.000,University-1652; SUES-200; VIGOR; CVUSA; CVACT,7; 8,7,true,none,,false,full_text_extracted_pending_visual_table_review,comparison_pages_found,
ca78db4b5731,JRN-Geo: A Joint Perception Network based on RGB and Normal images for Cross-view Geo-localization,ca78db4b5731_JRN-Geo_A_Joint_Perception_Network_based_on_RGB_a_arxiv.pdf,7,69132,1.000,University-1652; SUES-200,5; 6,5; 6,true,include,2026-06-20T00:09:33,true,full_text_extracted_pending_visual_table_review,comparison_pages_found,
f11512cc1a97,Learnable Query Aggregation with KV Routing for Cross-view Geo-localisation,f11512cc1a97_Learnable_Query_Aggregation_with_KV_Routing_for_Cr_arxiv.pdf,7,51523,1.000,University-1652; SUES-200,4; 5,4; 5,false,partial,2026-06-20T00:08:55,true,full_text_extracted_pending_visual_table_review,comparison_pages_found,
cd3dc92a8286,Leveraging Map Retrieval and Alignment for Robust UAV Visual Geo-Localization,cd3dc92a8286_ieee_alt.pdf,13,98874,1.000,UAV-GeoLoc,8; 9; 10,,false,none,,false,full_text_extracted_pending_visual_table_review,result_pages_found,
39ff99cf43f4,Lightweight Cross-View Localization via Quantized Knowledge Distillation and Adaptive Local Feature Matching,39ff99cf43f4_ieee_alt.pdf,5,34702,1.000,UAV-VisLoc; AerialVL,3; 4,3; 4,true,none,,false,full_text_extracted_pending_visual_table_review,comparison_pages_found,
c84291931b02,Long-range UAV Thermal Geo-localization with Satellite Imagery,c84291931b02_Long-range_UAV_Thermal_Geo-localization_with_Satel_arxiv.pdf,8,58634,1.000,,5; 6,,false,none,,false,full_text_extracted_pending_visual_table_review,result_pages_found,
e72f3ee1cd16,MADA-SSA: Multi-Axis Directional Attention and Spatial-Semantic Aggregation for Robust Drone-to-Satellite Geo-Localization,e72f3ee1cd16_MADA-SSA_Multi-Axis_Directional_Attention_and_Spa_unpaywall.pdf,29,92995,1.000,University-1652; SUES-200,2; 13; 14; 15; 18; 19; 22,14,true,include,2026-06-19T23:39:15,true,full_text_extracted_pending_visual_table_review,comparison_pages_found,
c5cb9de649a1,Matching 2D Images in 3D Metric Relative Pose from Metric,c5cb9de649a1_arxiv.pdf,18,124779,1.000,,5; 6; 7; 8; 9; 10; 12; 13,,false,none,,false,full_text_extracted_pending_visual_table_review,result_pages_found,
3b653d54791c,MCL-Geo: Multi-branch Contrastive Learning for Cross-view Geo-localizationA multi-branch contrastive learning framework plus uniform cross-view contrastive loss for cross-view geo-localization targets.,3b653d54791c_acm.pdf,8,59599,0.800,University-1652; SUES-200,5; 6; 7,5,false,none,,false,full_text_extracted_pending_visual_table_review,comparison_pages_found,
