paper_id,title,pages_checked,tables_found,rendered_pages,extraction_errors,status
7bcacdaff17e,A Cross-View Geo-Localization Algorithm Using UAV Image and Satellite Image,1; 12; 13; 14; 16,0,5,,visual_review_required
18a3adb9c3c3,A Deep Learning Framework with Geographic Information Adaptive Loss for Remote Sensing Images based UAV Self-Positioning,9,7,1,,tables_extracted
0dffafd487e0,A Hierarchical Absolute Visual Localization System for Low-Altitude Drones in GNSS-Denied Environments,5; 22; 24; 25; 26; 27; 28; 34,0,8,,visual_review_required
631f58d43805,A Highly Robust Image Matching and Localization Method Based on Heatmap Guidance and Graph Structure Optimization,3,2,1,,tables_extracted
7ac44ed43a07,A Novel EAGLe Framework for Robust UAV-View Geo-Localization,11; 15,0,2,,visual_review_required
54e4a5a123a2,A Review on Deep Learning for UAV Absolute Visual Localization,17; 19; 20; 25; 26; 27; 28; 29,0,8,,visual_review_required
de5c1acf58ab,A Transformer-Based Feature Segmentation and Region Alignment Method for UAV-View Geo-Localization,8; 9; 11,0,3,,visual_review_required
e55a3076ffe2,ACCL: A Plug-and-play Adaptive Confusion-aware Contrastive Loss for UAV-to-Satellite Geolocalization,4; 5; 6,0,3,,visual_review_required
5ab5e7a879a1,AdaptGeo: Parameter-Efficient Cross-View Geo-Localization via Frozen Foundation Model and Transformer Adapter,7; 8,0,2,,visual_review_required
db7a7aafdad6,Adaptive Frequency Enhancement and Multi-Scale Semantic Interaction for Robust Cross-View Geo-Localization,18; 19,0,2,,visual_review_required
9880ae23b323,Adaptive Multi-Backbone Fusion for UAV-Centric Cross-View Geo-Localization with Partial Street–Satellite Matching,4,0,1,,visual_review_required
757be77ae202,"AerialVL: A Dataset, Baseline and Algorithm Framework for Aerial-Based Visual Localization With Reference Map",4,0,1,,visual_review_required
6cdb7194b925,An Efficient Pyramid Transformer Network for Cross-View Geo-Localization in Complex Terrains,6; 13; 18; 19,0,4,,visual_review_required
5f4142a58af4; 6a3fbed60c1e,APA-BI Adaptive Partition Aggregation and Bidirectional Integration for UAV-View Geo-Localization,4; 5; 6,6,3,,tables_extracted
82930fdbcd52,Attention-Driven Object Encoding and Multiscale Contextual Perception for Improved Cross-View Object Geo-Localization,4,0,1,,visual_review_required
9ba16a43537d,Beyond Matching to Tiles Bridging Unaligned Aerial and Satellite Views for Vision-Only UAV Navigation,8; 17,0,2,,visual_review_required
b51dab3341da,BGG: Bridging the Geometric Gap between Cross-View images by Vision Foundation Model Adaptation for Geo-Localization,7; 8; 9; 10; 11,0,5,,visual_review_required
44ce5ac96986,Bridging the appearance gap Multi-experience localization for long-term visual teach and repeat,7; 8,2,2,,tables_extracted
ca16920bb2da,CFIRE: Cross-View Feature Interaction for Fine-Grained Regression-Based UAV Localization,1; 2; 3,0,3,,visual_review_required
aa95c2daa1b2,CGSI: Context-Guided and UAV’s Status Informed Multimodal Framework for Generalizable Cross-View Geo-Localization,8; 9; 10; 11,0,4,,visual_review_required
774e09788340,City-level aerial geo-localization based on map matching network,7; 10,0,2,,visual_review_required
d490bde886ee,Comparative Studies of Descriptor-Based Image Matching Techniques for AAV Applications (1),1; 8; 11,0,3,,visual_review_required
b38399c5c0d2,Comparison of Visual Place Recognition Methods for UAV Imagery,3; 4,5,2,,tables_extracted
f21c9cfe29c0,Cross-Attention Between Satellite and Ground Views for Enhanced Fine-Grained Robot,6; 7,4,2,,tables_extracted
8c7585ccb202,Cross-View Image Geo-Localization with Panorama-BEV Co-retrieval Network,6; 11; 12; 13; 14,10,5,,tables_extracted
468b748ff556,Cross-View Object Geo-Localization in a Local Region With Satellite Imagery,12,0,1,,visual_review_required
bd375063449b,Cross-view UAV Geo-localization via Wavelet-based Local Feature Enhancement,4; 5,4,2,,tables_extracted
933a07cca9fd,Cross-View UAV Geo-Localization with Precision-Focused Efficient Design A Hierarchical Distillation Approach with Multi-view Refinement,7,0,1,,visual_review_required
1c2fac0f661d,CVD-SfM: A Cross-View Deep Front-end Structure-from-Motion System for Sparse Localization in Multi-Altitude Scenes,1; 6; 7,1,3,,tables_extracted
88b1c713820a,DiffusionUavLoc: Visually Prompted Diffusion for Cross-View UAV Localization,6,0,1,,visual_review_required
d04c0e428697,DINOv2-Based UAV Visual Self-Localization in Low-Altitude Urban Environments,5; 6,0,2,,visual_review_required
a49bd8bbea92,Do Keypoints Contain Crucial Information Mining Keypoint Information to Enhance Cross-View Geo-Localization,4; 5,7,2,,tables_extracted
41f846965028,DOA: Advancing Cross-View Geo-Localization via Domain and Objective Alignment,6; 8,0,2,,visual_review_required
cba3f199a0d3,DOCB: A Dynamic Online Cross-Batch Hard Exemplar Recall for Cross-View Geo-Localization,9; 10; 11; 12; 13; 14; 15,0,7,,visual_review_required
3d8550f1d24c,Enhancing cross view geo localization through global local quadrant interaction network,8; 9; 11,5,3,,tables_extracted
a04107479203,Exploring Deep Learning-Based Visual Localization Techniques for UAVs in GPS-Denied Environments,6; 8; 10; 13,0,4,,visual_review_required
27b14397c21c,Exploring the best way for UAV visual localization under Low-altitude Multi-view Observation Condition: a Benchmark,3; 4; 5; 6; 7; 8,7,6,,tables_extracted
cd047607b9a7,Exploring the Image Registration Method for UAV Visual Localization,1; 3,1,2,,tables_extracted
ddca752302da,GeoFormer: Boosting Object Distinguishing and Prompt Understanding for Cross-View Object Geo-Localization,,0,0,,no_candidate_pages
a5449d507d08,GNSS-denied geolocalization of UAVs by visual matching of onboard camera images with orthophotos,2; 5; 6; 7,0,4,,visual_review_required
3e61d038d390,GRiM-Net: A Two-Stage Cross-View Visual Localization Framework for UAVs,14; 18; 21; 23; 25,0,5,,visual_review_required
2ad1078935a8,HCCM: Hierarchical Cross-Granularity Contrastive and Matching Learning for Natural Language-Guided Drones,1; 6; 7,0,3,,visual_review_required
ea96da563d00,HMCF-Net: Hierarchical Multi-scale Fusion for UAV-Satellite Cross-view Geo-localization,5,0,1,,visual_review_required
e30ee7b6b636,Improving the Localization Accuracy in Internet of Drones Networks,5; 6,1,2,,tables_extracted
f4ed1572461e,Joint Representation Learning Based on Feature Center Region Diffusion and Edge Radiation for Cross-View Geo-Localization,7,0,1,,visual_review_required
ca78db4b5731,JRN-Geo: A Joint Perception Network based on RGB and Normal images for Cross-view Geo-localization,5; 6,0,2,,visual_review_required
f11512cc1a97,Learnable Query Aggregation with KV Routing for Cross-view Geo-localisation,4; 5,1,2,,tables_extracted
cd3dc92a8286,Leveraging Map Retrieval and Alignment for Robust UAV Visual Geo-Localization,8; 9; 10,0,3,,visual_review_required
39ff99cf43f4,Lightweight Cross-View Localization via Quantized Knowledge Distillation and Adaptive Local Feature Matching,3; 4,0,2,,visual_review_required
c84291931b02,Long-range UAV Thermal Geo-localization with Satellite Imagery,5; 6,0,2,,visual_review_required
e72f3ee1cd16,MADA-SSA: Multi-Axis Directional Attention and Spatial-Semantic Aggregation for Robust Drone-to-Satellite Geo-Localization,14,0,1,,visual_review_required
c5cb9de649a1,Matching 2D Images in 3D Metric Relative Pose from Metric,5; 6; 7; 8; 9; 10; 12; 13,5,8,,tables_extracted
3b653d54791c,MCL-Geo: Multi-branch Contrastive Learning for Cross-view Geo-localizationA multi-branch contrastive learning framework plus uniform cross-view contrastive loss for cross-view geo-localization targets.,5,0,1,,visual_review_required
fc7381acc7dd,MFAF: An EVA02-Based Multi-scale Frequency Attention Fusion Method for Cross-View Geo-Localization,8; 10; 11; 12,0,4,,visual_review_required
2040e36dc653; f688dd8cddb0,MMGeo: Multimodal Compositional Geo-Localization for UAVs,3; 6; 7; 8,7,4,,tables_extracted
cd3a222e27f8,MobileGeo Exploring Hierarchical Knowledge Distillation for Resource-Efficient Cross-view Drone Geo-Localization,7,0,1,,visual_review_required
573972da87de,Modern Backbone for Efficient Geo-localization,5,4,1,,tables_extracted
c7e57d895be7,"MORE'25 Multimedia Object Re-ID: Advancements, Challenges, and Opportunities",,0,0,,no_candidate_pages
50abb7ac99ee,MTA-Dataset: Multiple-Tilt-Angle Dataset for UAV–Satellite Image Matching,5,0,1,,visual_review_required
f5df981b2073,Multi-Level Embedding and Alignment Network with Consistency and Invariance Learning for Cross-View Geo-Localization,12; 13; 14; 15,1,4,,tables_extracted
6f916702b8e5,Multi-level representation learning via ConvNeXt-based network for unaligned cross-view matching,8; 9,0,2,,visual_review_required
d92f0e26bb84,Multi-weather Cross-view Geo-localization Using Denoising Diffusion Models,3; 4,4,2,,tables_extracted
d7e7b56c7172,Multibranch Joint Representation Learning Based on Information Fusion Strategy for Cross-View Geo-Localization,8; 9; 10; 12,0,4,,visual_review_required
42bbd39ca43d,MuRDE-FPN: Precise UAV Localization Using Enhanced Feature Pyramid Network,7; 16; 17; 18; 19; 21,0,6,,visual_review_required
d3cdc2d6ff0a,Navigating the Metaverse: UAV-Based Cross-View Geo-Localization in Virtual Worlds,4,1,1,,tables_extracted
e762d8c49f13,Notes on Kalman Filter,,0,0,,no_candidate_pages
e3ae8d127381,OriLoc: Unlimited-FoV and Orientation-Free Cross-View Geolocalization,9; 12,0,2,,visual_review_required
8c187c7f35f0,P2FCN: Environment-Independent UAV-View Geo-Localization via Pixel-to-Feature Co-Enhancement,7; 8,0,2,,visual_review_required
9c8f4e023278,Particle Filter-Based Localization Using Visual Feature Synchronization in GNSS-Denied Navigation,7,0,1,,visual_review_required
ca98b2efc271,PnP-UGCSuperGlue: deep learning drone image matching algorithm for visual localization,1; 8,0,2,,visual_review_required
c4c5ea82da24,Precise GPS-Denied UAV Self-positioning via Context-Enhanced Cross-View Geo-Localization,6; 8,0,2,,visual_review_required
3b8954612817,Proxy-UAV: Bridging the Missing Drone View for Cross-View Geo-Localization,1; 2,0,2,,visual_review_required
5f3026c15e82,R2PLoc A Region-to-Point UAV Visual Geo-Localization Framework Leveraging Hierarchical Semantic Representation,4; 12; 14,0,3,,visual_review_required
9a41c34577e0,Rethinking Cross-view Object Geo-Localization Towards Many-to-Many Real-world Localization,4; 5,4,2,,tables_extracted
daf790654cfb,Rethinking Pooling for Multi-Granularity Features in Aerial-View Geo-Localization,3; 4,0,2,,visual_review_required
3ed9b45869b5,Satellite-Free Training for Drone-View Geo-Localization,5; 6; 7,0,3,,visual_review_required
ccd22757308c,SAVL Scene-Adaptive UAV Visual Localization Using Sparse Feature Extraction and Incremental Descriptor Mapping,1; 5; 8; 13; 14; 17; 18; 20,1,8,,tables_extracted
d677dd26cb3e,SCOF Supervised Contrastive Orthogonal Fusion for Robust Cross-View Geolocalization,8; 9; 10; 12,0,4,,visual_review_required
ed7cb3a291e1,SeGCN: A Semantic-Aware Graph Convolutional Network for UAV Geo-Localization,6; 7,0,2,,visual_review_required
82dbe06751f7,Self-Supervised Cross-View Graph Search Framework for Ground-to-Satellite Geo-Localization,8; 9,0,2,,visual_review_required
d5de60b2f94e,SemGeoFrame: A Visual Matching Framework for Aircraft Based on Surface Semantic Information,10; 12,0,2,,visual_review_required
2aea7cfc1827,SHAA: Spatial Hybrid Attention Network With Adaptive Cross-Entropy Loss Function for UAV-View Geo-Localization,10; 11; 12,0,3,,visual_review_required
2f34c094b799,SkyLink: A Large Vision-Language Model Driven Re-ranking Framework for Cross-View UAV geolocalization,5; 6; 7; 10,4,4,,tables_extracted
cdfcc0ec1b73,SliceMatch Geometry-Guided Aggregation for Cross-View Pose Estimation,7; 8,11,2,,tables_extracted
c58d8d343927,SMDT Cross-View Geo-Localization with Image Alignment and Transformer,5; 6,0,2,,visual_review_required
54ed1af6a9b3,ST-D3QN Advancing UAV Path Planning With an Enhanced Deep Reinforcement Learning Framework in Ultra-Low Altitudes,1; 10; 11,0,3,,visual_review_required
b5caac31809c,STHN Deep Homography Estimation for UAV Thermal Geo-localization with Satellite Imagery,2; 4; 7,0,3,,visual_review_required
83972fc6c838,SUES-200 A Multi-height Multi-scene Cross-view Image Benchmark Across Drone and Satellite,9; 10; 12,2,3,,tables_extracted
168d02a9b466,SURFNet: A Surface-Aware UAV–Satellite Geolocation Framework via Feature Aggregation and Dual Positional Encoding,7; 9; 10; 11,1,4,,tables_extracted
d13004a0f023,Tightly Coupled GNSS-Visual-Inertial Smoothly Consistent State Estimation System,1; 3; 16,0,3,,visual_review_required
f6975dbe0dea,Toward Integrating Semantic-aware Path Planning and Reliable Localization for UAV Operations,2; 4,0,2,,visual_review_required
950172f7f8c8,UASTHN Uncertainty-Aware Deep Homography Estimation for UAV Satellite-Thermal Geo-Localization,1; 4,8,2,,tables_extracted
b5ab5786cd9c,UAV Cross-View Geo-Localization Based on Multi-Scale Partitioning and Attention-Enhanced Transformer,3; 4,3,2,,tables_extracted
f492b9c680a8,UAV Geo-Localization Dataset and Method Based on Cross-View Matching,3; 14,0,2,,visual_review_required
63d35fe5fe2d,UAV Positioning Method Based on Heterogeneous Image Matching Under GPS Denial,,0,0,,no_candidate_pages
835f3f1ac3bf,UAV Visual Localization System Empowered by Zero-Shot Deep Feature Matching,1; 3; 5,0,3,,visual_review_required
c3321ed351c8,UAV Visual Localization via Multimodal Fusion and Multi-Scale Attention Enhancement,16,0,1,,visual_review_required
189d681f636e,UAV-GeoLoc A Large-Vocabulary Dataset and Geometry-Transformed Method for UAV Geo-Localization,3; 6,0,2,,visual_review_required
b508c0afaa2f,UltraVPR: Unsupervised Lightweight Rotation- Invariant Aerial Visual Place Recognition,5; 6; 7,0,3,,visual_review_required
841f72f1d3b0,UniABG: Unified Adversarial View Bridging and Graph Correspondence for Unsupervised Cross-View Geo-Localization,6; 7,4,2,,tables_extracted
ab9dab27b058,Unsupervised Multi-view UAV Image Geo-localization via Iterative Rendering,7,2,1,,tables_extracted
f265bcce8a8b,View Consistent Purification for Accurate Cross-View Localization,2; 3; 6; 8,6,4,,tables_extracted
6cf6dbcaed80,Visible-to-Infrared Image Translation for Matching Tasks,9,0,1,,visual_review_required
d2714d8c0bdf,Vision-Based UAV Localization by Aerial and Satellite Image Matching,9,0,1,,visual_review_required
e8b9b13f251d,Visual Localization system for GPS-Blind Environments in Unmanned Aerial Vehicles,5,1,1,,tables_extracted
ce14891059e1,Visual Localization with Google Earth Images for Robust Global Pose Estimation of UAVs,4; 5; 6,3,3,,tables_extracted
ab2b9558e629,Visual place recognition for aerial imagery: A survey,3; 4; 6; 7; 8; 9; 11,4,7,,tables_extracted
b8bbbd941cc5,Visual Self-Positioning of Low-Altitude Urban UAV Based on Improved Transformer Architecture,9; 12,0,2,,visual_review_required
a7fcf3489f1b,VLF-SPS: a visual localization framework based on salient position selection and cross-source image matching,15,0,1,,visual_review_required
e93df3813f7c,VLGeo: Bridging Viewpoints in UAV-View Geo-Localization Using a Large Vision–Language Model,7; 8; 9,0,3,,visual_review_required
